"mmsi";"poly1"
231763000;"id_iso_99_37"
373954000;"id_iso_99_37"
215349000;"id_iso_99_37"
241210000;"id_iso_99_37"
241196000;"id_iso_99_37"
538003664;"id_iso_99_38"
241196000;"id_iso_99_38"
235634000;"id_iso_99_39"
236250000;"id_iso_99_39"
235051012;"id_iso_99_39"
325350000;"id_iso_99_40"
341959000;"id_iso_99_40"
231209000;"id_iso_99_40"
341891000;"id_iso_99_40"
305844000;"id_iso_99_40"
236250000;"id_iso_99_41"
864000143;"id_iso_99_42"
219128000;"id_iso_99_43"
864000143;"id_iso_99_43"
864000015;"id_iso_99_44"
231208000;"id_iso_99_45"
231201000;"id_iso_99_45"
325350000;"id_iso_99_45"
231711000;"id_iso_99_45"
231209000;"id_iso_99_45"
982590401;"id_iso_99_45"
231774000;"id_iso_99_45"
231763000;"id_iso_99_45"
304882000;"id_iso_99_45"
518351000;"id_iso_99_45"
304882000;"id_iso_99_46"
231766000;"id_iso_99_46"
305081000;"id_iso_99_46"
231209000;"id_iso_99_46"
305082000;"id_iso_99_46"
273348330;"id_iso_99_47"
982593171;"id_iso_99_48"
864000015;"id_iso_99_48"
236386000;"id_iso_99_49"
982593171;"id_iso_99_49"
305846000;"id_iso_99_49"
231209000;"id_iso_99_49"
231711000;"id_iso_99_49"
271043467;"id_iso_99_49"
311988000;"id_iso_99_50"
210032000;"id_iso_99_50"
566758000;"id_iso_99_50"
304563000;"id_iso_99_50"
231209000;"id_iso_99_50"
273348330;"id_iso_99_51"
305846000;"id_iso_99_52"
308095000;"id_iso_99_52"
311367000;"id_iso_99_52"
231208000;"id_iso_99_52"
305081000;"id_iso_99_52"
13070519;"id_iso_99_52"
248937000;"id_iso_99_53"
273348330;"id_iso_99_54"
111111111;"id_iso_99_55"
305649000;"id_iso_99_56"
305649000;"id_iso_99_57"
864000015;"id_iso_99_57"
256953000;"id_iso_99_58"
308095000;"id_iso_99_58"
231212000;"id_iso_99_58"
231766000;"id_iso_99_58"
235097855;"id_iso_99_58"
982590400;"id_iso_99_58"
231201000;"id_iso_99_58"
57173720;"id_iso_99_58"
210032000;"id_iso_99_58"
311367000;"id_iso_99_58"
982585920;"id_iso_99_58"
982585921;"id_iso_99_58"
231209000;"id_iso_99_58"
231711000;"id_iso_99_58"
970010720;"id_iso_99_58"
230185000;"id_iso_99_58"
231770000;"id_iso_99_58"
375431000;"id_iso_99_58"
236500000;"id_iso_99_58"
231208000;"id_iso_99_58"
231251000;"id_iso_99_58"
248105000;"id_iso_99_58"
304010996;"id_iso_99_58"
304882000;"id_iso_99_58"
249689000;"id_iso_99_58"
231763000;"id_iso_99_58"
231774000;"id_iso_99_58"
982583110;"id_iso_99_58"
311938000;"id_iso_99_58"
314318000;"id_iso_99_58"
231212000;"id_iso_99_59"
249359000;"id_iso_99_59"
305649000;"id_iso_99_59"
376317000;"id_iso_99_59"
209810000;"id_iso_99_59"
377444000;"id_iso_99_59"
236111978;"id_iso_99_59"
231251000;"id_iso_99_59"
314168000;"id_iso_99_59"
231251000;"id_iso_99_60"
375102000;"id_iso_99_60"
273298600;"id_iso_99_61"
273348330;"id_iso_99_61"
209135000;"id_iso_99_62"
273298600;"id_iso_99_62"
271042836;"id_iso_99_63"
375258000;"id_iso_99_63"
251520640;"id_iso_99_63"
376317000;"id_iso_99_63"
305082000;"id_iso_99_63"
308241000;"id_iso_99_63"
305846000;"id_iso_99_63"
377134000;"id_iso_99_63"
305081000;"id_iso_99_63"
311064400;"id_iso_99_63"
220003000;"id_iso_99_64"
538004907;"id_iso_99_64"
251585110;"id_iso_99_65"
251724000;"id_iso_99_65"
325350000;"id_iso_99_65"
251607110;"id_iso_99_65"
251833940;"id_iso_99_65"
982593171;"id_iso_99_65"
304882000;"id_iso_99_65"
311042400;"id_iso_99_65"
538004905;"id_iso_99_66"
311027700;"id_iso_99_67"
311027500;"id_iso_99_67"
209810000;"id_iso_99_68"
220524000;"id_iso_99_68"
231212000;"id_iso_99_68"
246483000;"id_iso_99_68"
305639000;"id_iso_99_68"
308192000;"id_iso_99_68"
314217000;"id_iso_99_68"
248105000;"id_iso_99_68"
377707000;"id_iso_99_68"
314261000;"id_iso_99_68"
314180000;"id_iso_99_68"
314259000;"id_iso_99_68"
256953000;"id_iso_99_68"
256951000;"id_iso_99_68"
210032000;"id_iso_99_68"
246162000;"id_iso_99_68"
314207000;"id_iso_99_68"
248937000;"id_iso_99_68"
304323000;"id_iso_99_68"
311117000;"id_iso_99_68"
982585920;"id_iso_99_68"
982585921;"id_iso_99_68"
311938000;"id_iso_99_68"
314258000;"id_iso_99_68"
215679000;"id_iso_99_68"
231015000;"id_iso_99_68"
248835000;"id_iso_99_68"
249689000;"id_iso_99_68"
248216000;"id_iso_99_68"
304447000;"id_iso_99_68"
352531000;"id_iso_99_68"
308874000;"id_iso_99_68"
314158000;"id_iso_99_68"
236330000;"id_iso_99_68"
311257000;"id_iso_99_68"
219416000;"id_iso_99_68"
300900000;"id_iso_99_68"
500900000;"id_iso_99_68"
375431000;"id_iso_99_68"
305210000;"id_iso_99_68"
306602000;"id_iso_99_68"
377134000;"id_iso_99_68"
231759000;"id_iso_99_68"
273333970;"id_iso_99_68"
304010986;"id_iso_99_68"
304146000;"id_iso_99_68"
314182000;"id_iso_99_68"
308241000;"id_iso_99_69"
248384000;"id_iso_99_69"
304010986;"id_iso_99_69"
249359000;"id_iso_99_70"
304010986;"id_iso_99_70"
305846000;"id_iso_99_71"
249849000;"id_iso_99_71"
244503000;"id_iso_99_71"
246248000;"id_iso_99_71"
249879000;"id_iso_99_71"
982582290;"id_iso_99_72"
311027500;"id_iso_99_72"
215393000;"id_iso_99_72"
311027700;"id_iso_99_73"
311027500;"id_iso_99_73"
982582290;"id_iso_99_73"
231212000;"id_iso_99_74"
248105000;"id_iso_99_74"
231766000;"id_iso_99_74"
231201000;"id_iso_99_74"
57173720;"id_iso_99_74"
220447000;"id_iso_99_74"
231209000;"id_iso_99_74"
231711000;"id_iso_99_74"
982585920;"id_iso_99_74"
231208000;"id_iso_99_74"
271043467;"id_iso_99_74"
220299000;"id_iso_99_74"
219416000;"id_iso_99_74"
304882000;"id_iso_99_74"
231763000;"id_iso_99_74"
518630000;"id_iso_99_74"
231845000;"id_iso_99_74"
311988000;"id_iso_99_74"
